Window_Start,Window_End,Mean,Std_Dev,Mode,Skewness,Kurtosis
155000,155999,-92.8,0.4,-93,1.51,0.27
156000,156999,-93.32,0.47,-93,-0.76,-1.43
157000,157999,-95.89,1.45,-97,0.54,-1.71
158000,158999,-97.0,0.0,-97,0.0,0.0
159000,159999,-97.0,0.0,-97,0.0,0.0
160000,160999,-97.0,0.0,-97,0.0,0.0
161000,161999,-95.25,0.66,-95,-2.3,3.27
162000,162999,-95.49,0.5,-95,-0.03,-2.0
163000,163999,-95.6,0.49,-96,0.43,-1.82
164000,164999,-95.0,0.0,-95,0.0,0.0
165000,165999,-95.0,0.0,-95,0.0,0.0
166000,166999,-95.0,0.0,-95,0.0,0.0
167000,167999,-95.0,0.0,-95,0.0,0.0
168000,168999,-95.78,1.31,-95,-1.1,-0.79
169000,169999,-94.61,1.22,-94,-0.82,0.47
170000,170999,-94.36,0.55,-94,0.07,-0.85
171000,171999,-93.02,0.15,-93,-6.52,40.48
172000,172999,-93.0,0.0,-93,0.0,0.0
173000,173999,-93.0,0.0,-93,0.0,0.0
174000,174999,-93.0,0.0,-93,0.0,0.0
175000,175999,-93.0,0.0,-93,0.0,0.0
176000,176999,-93.0,0.0,-93,0.0,0.0
177000,177999,-93.0,0.0,-93,0.0,0.0
178000,178999,-93.0,0.0,-93,0.0,0.0
179000,179999,-92.23,1.43,-91,-1.09,0.85
180000,180999,-94.04,2.44,-96,0.45,-1.8
181000,181999,-91.86,2.45,-90,-0.71,-1.32
182000,182999,-89.11,2.84,-87,-0.9,-0.99
183000,183999,-92.04,3.1,-95,0.48,-1.17
184000,184999,-92.53,1.71,-93,0.86,-0.19
185000,185999,-91.93,1.9,-90,-0.07,-1.89
186000,186999,-94.0,0.0,-94,0.0,0.0
187000,187999,-93.85,0.73,-94,-0.25,-1.1
188000,188999,-92.01,0.9,-93,0.02,-1.75
189000,189999,-91.83,1.34,-92,-0.31,-0.88
190000,190999,-91.62,1.61,-90,-0.36,-1.55
191000,191999,-92.28,1.12,-93,0.18,-1.51
192000,192999,-93.01,2.18,-94,0.13,-1.43
193000,193999,-94.84,0.43,-95,0.85,1.03
194000,194999,-95.93,0.36,-96,5.23,25.34
195000,195999,-93.9,2.27,-94,0.49,-0.51
196000,196999,-94.06,0.24,-94,-3.67,11.46
197000,197999,-96.33,0.95,-97,0.69,-1.52
198000,198999,-97.0,0.0,-97,0.0,0.0
199000,199999,-97.0,0.0,-97,0.0,0.0
200000,200999,-97.0,0.0,-97,0.0,0.0
201000,201999,-97.0,0.0,-97,0.0,0.0
202000,202999,-97.0,0.0,-97,0.0,0.0
203000,203999,-96.77,0.42,-97,1.3,-0.3
204000,204999,-95.82,1.2,-96,1.1,0.53
205000,205999,-97.0,0.0,-97,0.0,0.0
206000,206999,-95.23,2.44,-97,0.78,-1.17
207000,207999,-92.16,1.18,-93,1.03,-0.6
208000,208999,-92.0,1.09,-92,0.92,-0.46
209000,209999,-83.17,5.11,-79,-0.85,-0.89
210000,210999,-75.83,1.97,-77,0.34,-1.52
211000,211999,-80.27,3.58,-81,0.57,-0.47
212000,212999,-78.33,5.02,-83,0.1,-1.31
213000,213999,-74.74,2.76,-78,-0.2,-1.74
214000,214999,-72.47,3.16,-71,-1.38,0.5
215000,215999,-77.46,2.45,-77,-0.07,-1.31
216000,216999,-76.45,1.87,-74,0.08,-1.37
217000,217999,-84.02,3.36,-83,0.71,-0.01
218000,218999,-87.27,3.53,-85,-1.14,-0.25
219000,219999,-84.1,1.7,-85,0.9,-0.44
220000,220999,-86.09,3.1,-90,0.46,-1.0
221000,221999,-83.25,3.59,-82,-0.19,-0.78
222000,222999,-82.06,2.59,-82,0.07,-0.71
223000,223999,-81.83,1.34,-81,-0.18,-1.17
224000,224999,-82.85,2.12,-85,0.33,-1.58
225000,225999,-83.18,1.18,-84,1.12,-0.43
226000,226999,-81.77,1.17,-83,0.29,-1.43
227000,227999,-80.89,1.94,-79,-0.37,-1.64
228000,228999,-81.81,2.55,-84,0.21,-1.38
229000,229999,-83.43,2.07,-87,-0.66,-0.78
230000,230999,-85.12,0.89,-85,1.05,1.53
231000,231999,-82.56,1.05,-83,0.25,-1.15
232000,232999,-84.84,3.65,-82,-0.33,-1.73
233000,233999,-84.8,1.89,-83,-0.56,-1.23
234000,234999,-86.14,3.63,-87,-0.22,-0.82
235000,235999,-88.44,3.29,-92,0.48,-1.39
236000,236999,-89.2,2.71,-92,-0.03,-1.93
237000,237999,-89.04,2.42,-88,-0.45,-0.71
238000,238999,-88.08,3.71,-88,-0.28,-0.83
239000,239999,-82.77,1.26,-84,0.21,-1.68
240000,240999,-82.74,2.54,-81,-0.8,-1.31
241000,241618,-81.39,2.39,-82,-1.22,0.93
